symbol,asset_type,source,score,signal,confidence,strategy,price,return_5_pct,return_20_pct,atr_pct,rsi_14,avg_dollar_volume,volume_ratio,last_bar,reason,rank,asset_label,selected
TSLA,stock,screener:most_actives,57.72,hold,0.0,ensemble,347.69989014,5.8189,-8.7018,3.0537,49.85,13155670781.65,0.1499,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",38,Aktie,False
AZN.L,stock,global_stocks,57.12,hold,0.0,ensemble,11478.0,-3.5138,-8.2554,3.3519,33.45,48565585046.4,0.3293,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",39,Aktie,False
005930.KS,stock,global_stocks,57.09,hold,0.0,ensemble,274500.0,18.8312,7.6471,8.3216,53.93,8222998860000.0,0.7689,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",40,Aktie,False
NFLX,stock,fallback_stocks,55.64,hold,0.0,ensemble,77.96499634,5.1592,13.0747,2.8767,61.33,2902722122.96,0.0927,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",41,Aktie,False
9984.T,stock,global_stocks,55.41,hold,0.0,ensemble,5739.0,0.7726,-9.7642,6.8242,50.78,274447387635.0,0.8697,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",42,Aktie,False
DELL,stock,screener:growth_technology_stocks,55.38,hold,0.0,ensemble,499.23760986,10.02,26.1701,7.1505,63.12,2847332213.98,0.0936,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",43,Aktie,False
EXTR,stock,screener:day_gainers,55.2,hold,0.0,ensemble,25.04500008,4.4848,-17.4522,6.6594,38.98,43259615.03,0.1191,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",44,Aktie,False
NOK,stock,screener:most_actives,54.85,hold,0.0,ensemble,10.6704998,14.0011,5.4397,5.3084,52.42,932502905.31,0.0952,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",45,Aktie,False
PGEN,stock,screener:day_losers,54.47,hold,0.0,ensemble,6.32000017,-12.5864,27.6768,6.5778,54.25,32962778.7,0.0696,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",46,Aktie,False
SOXX,etf,core_etfs,54.23,hold,0.0,ensemble,552.05499268,1.6171,5.7962,4.3702,52.52,5308836864.67,0.069,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",47,ETF,True
9988.HK,stock,global_stocks,54.21,hold,0.0,ensemble,119.90000153,-3.1502,6.4831,3.8187,51.91,10761356966.2,0.634,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",48,Aktie,False
RUN,stock,screener:day_gainers,54.18,hold,0.0,ensemble,10.30000019,0.9804,-13.0802,6.4965,44.67,99017810.17,0.0997,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",49,Aktie,False
NVDA,stock,screener:most_actives,54.17,hold,0.0,ensemble,225.95500183,0.8908,11.4122,3.0117,61.96,26445176000.58,0.0822,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",50,Aktie,False
EXK,stock,screener:day_gainers,53.99,hold,0.0,ensemble,10.69499969,12.1069,44.332,5.2219,68.89,78546874.5,0.1057,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",51,Aktie,False
